Running Model: FullBCModel(
  (glycinergic_amacrine_cells): AmacrineCellFeedback()
  (gabaergic_amacrine_cells): AmacrineCellFeedback()
)
lr=0.05152182329598098, max_steps=1000, time_reg_weight=0.02049110734470197, sparsity_reg_weight=3.8927961677499236e-07, scale_mean_weight=2.5717471827325356, scale_std_weight=0.6809779474260329
Init Params:

Step 5 (86.97s), Loss: Local=0.2580341577529907, Global=0.24764224290847778, Speed_reg=9.59e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=8.68e-01
Step 590 (82.84s), Loss: Local=0.051159775257110594, Global=0.045493900775909424, Speed_reg=7.11e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 595 (83.19s), Loss: Local=0.05118902921676636, Global=0.04532492160797119, Speed_reg=7.11e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 600 (83.37s), Loss: Local=0.05125066041946411, Global=0.045423805713653564, Speed_reg=7.11e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 605 (83.25s), Loss: Local=0.05116711854934693, Global=0.04539434909820557, Speed_reg=7.10e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 610 (83.06s), Loss: Local=0.051127827167510985, Global=0.04546909332275391, Speed_reg=7.10e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 615 (83.24s), Loss: Local=0.05118339061737061, Global=0.04546209573745728, Speed_reg=7.09e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 620 (83.04s), Loss: Local=0.051025795936584475, Global=0.04537409543991089, Speed_reg=7.09e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 625 (83.29s), Loss: Local=0.05121592283248901, Global=0.04536792039871216, Speed_reg=7.08e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 630 (83.13s), Loss: Local=0.05092153549194336, Global=0.04535937309265137, Speed_reg=7.08e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 635 (83.35s), Loss: Local=0.051034390926361084, Global=0.04532610177993775, Speed_reg=7.08e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 640 (83.07s), Loss: Local=0.05104066133499145, Global=0.045450794696807864, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 645 (83.35s), Loss: Local=0.051120650768280027, Global=0.04528684616088867, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 650 (83.26s), Loss: Local=0.05098186731338501, Global=0.04520183801651001, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 655 (83.38s), Loss: Local=0.05096776485443115, Global=0.04532643556594849, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
lowering learning rate to  0.0008050284889997028
Step 660 (70.96s), Loss: Local=0.05100274085998535, Global=0.045309793949127194, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 665 (83.42s), Loss: Local=0.0510612964630127, Global=0.04518533945083618, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 670 (83.39s), Loss: Local=0.050975573062896726, Global=0.04533005952835083, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 675 (83.20s), Loss: Local=0.05114213228225708, Global=0.045198690891265866, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 680 (83.35s), Loss: Local=0.051024866104125974, Global=0.04532481431961059, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 685 (83.05s), Loss: Local=0.05102313756942749, Global=0.04528195858001709, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 690 (83.34s), Loss: Local=0.05102287530899048, Global=0.0451815128326416, Speed_reg=7.07e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 695 (83.31s), Loss: Local=0.05103909969329834, Global=0.04527384042739868, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 700 (83.16s), Loss: Local=0.050947725772857666, Global=0.04518958330154419, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 705 (83.38s), Loss: Local=0.05101237297058105, Global=0.04527140855789184, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 710 (83.33s), Loss: Local=0.05101833343505859, Global=0.045258712768554685, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 715 (83.32s), Loss: Local=0.05092777013778686, Global=0.04511215686798096, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 720 (83.45s), Loss: Local=0.05096211433410645, Global=0.04513474702835083, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 725 (83.11s), Loss: Local=0.0510498046875, Global=0.04519723653793335, Speed_reg=7.06e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 730 (83.12s), Loss: Local=0.05098285675048828, Global=0.04509056806564331, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 735 (83.06s), Loss: Local=0.05091164112091064, Global=0.04521480798721313, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 740 (83.23s), Loss: Local=0.05091617107391357, Global=0.045115303993225095, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 745 (83.19s), Loss: Local=0.05104750394821167, Global=0.045107901096343994, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 750 (82.99s), Loss: Local=0.050942623615264894, Global=0.04514963626861572, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
lowering learning rate to  0.0004025142444998514
Step 755 (71.58s), Loss: Local=0.05094844102859497, Global=0.04500744342803955, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 760 (83.19s), Loss: Local=0.050976133346557616, Global=0.04517519474029541, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 765 (83.24s), Loss: Local=0.05096306800842285, Global=0.04513523578643799, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 770 (82.81s), Loss: Local=0.05096560716629028, Global=0.045077955722808837, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 775 (82.88s), Loss: Local=0.050954902172088624, Global=0.045138418674468994, Speed_reg=7.05e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 780 (83.08s), Loss: Local=0.050935769081115724, Global=0.045079708099365234, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 785 (83.03s), Loss: Local=0.05089583396911621, Global=0.04507189989089966, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 790 (83.29s), Loss: Local=0.05100746154785156, Global=0.045159447193145755, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 795 (82.98s), Loss: Local=0.050964176654815674, Global=0.04492584466934204, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 800 (82.96s), Loss: Local=0.05090030431747437, Global=0.04513450860977173, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 805 (83.16s), Loss: Local=0.050930678844451904, Global=0.045028722286224364, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 810 (83.31s), Loss: Local=0.05098212957382202, Global=0.04502435922622681, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 815 (83.17s), Loss: Local=0.050905823707580566, Global=0.045100629329681396, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 820 (83.12s), Loss: Local=0.05095441341400146, Global=0.044943737983703616, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 825 (84.03s), Loss: Local=0.050949382781982425, Global=0.0450974702835083, Speed_reg=7.04e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 830 (83.13s), Loss: Local=0.050914859771728514, Global=0.044973897933959964, Speed_reg=7.03e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 835 (83.47s), Loss: Local=0.05099354982376099, Global=0.04509958028793335, Speed_reg=7.03e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.09e-01
Step 840 (83.18s), Loss: Local=0.05087149143218994, Global=0.044997358322143556, Speed_reg=7.03e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 845 (83.51s), Loss: Local=0.05092414617538452, Global=0.045011043548583984, Speed_reg=7.03e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Step 850 (84.85s), Loss: Local=0.05095714330673218, Global=0.0449518084526062, Speed_reg=7.03e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.08e-01
Converged.
stimulus_bias before=[0.04289288]
after=[0.09069684]

stimulus_scale before=[0.24373454]
after=[0.23186043]

kernel_speed before=[0.36830872 0.3604338  0.34331554 0.3623055  0.3569275  0.3157174
 0.35733652 0.34892684 0.38961762 0.38318273 0.32658952 0.3488971
 0.35641468 0.2622604 ]
after=[0.26008934 0.30436453 0.33293688 0.331627   0.30973816 0.2846914
 0.2503166  0.28810933 0.37042344 0.3238311  0.25296822 0.2832643
 0.3067464  0.27441686]

sigmoid_offset before=[ 1.7284784   0.9557721   0.28272086  0.26831347 -0.10104243  1.2677771
  1.1756914   0.5341412  -0.00437912 -0.02197618  1.0143617   0.97917616
  1.3453636   0.6133871 ]
after=[ 0.24611682  0.8753445   0.5332468   0.19349408 -0.13081427  1.2919253
  1.232205    0.70534945  0.08784004  0.06687275  1.0945122   1.0449067
  1.4710749   0.21454397]

sigmoid_slope before=[ 4.0974865  2.791768   8.389149   5.629425  10.040583   2.5166113
  2.5905042  3.8754988 28.7908     3.998158   3.0277648  1.8212681
  3.3231149  2.0588999]
after=[ 3.0747824  2.2639303  7.7054586  4.3370533  7.8822665  2.5554638
  2.200674   3.1398044 19.202885   3.0810497  3.2584813  1.6694632
  3.0213351  4.0754447]

change_prob01 before=[0.25297245 0.18942851 0.8264635  0.47428614 0.49152258 0.05948147
 0.22612782 0.11781286 0.24023731 0.23684339 0.4147952  0.13401797
 0.09149088 0.17382888]
after=[0.97895086 0.15995593 0.68480295 0.07564721 0.1081165  0.07115707
 0.334979   0.11000559 0.10457135 0.17761095 0.704846   0.107273
 0.09984205 0.1076028 ]

change_prob12 before=[0.01096234 0.23573992 0.08547488 1.8817276  0.09640967 0.12272095
 0.01188625 0.01043145 0.01324747 0.03229701 0.01002913 0.43163398
 0.13879564 0.02369343]
after=[0.04444218 0.23869151 0.07909568 0.22052827 0.0469531  0.1523439
 0.01716319 0.00797051 0.01237053 0.05285499 0.01361301 0.3379357
 0.12533545 0.00896767]

intermediate_pool_capacity before=[29.25885   30.693329  25.968094   8.97174   23.428106   3.5682657
  5.93445   14.060356  25.640827  26.576994   6.290353   7.648087
 11.369534  13.967554 ]
after=[118.62968    22.656097   28.415657    2.4694064  11.63119     4.840493
   8.64708    23.605848   14.075412   13.95608     8.639114   11.807853
  28.64256    20.553589 ]

release_pool_capacity before=[ 1.2597021  7.134526  82.91687   15.149846   3.2030458 19.33117
  9.564509   4.804526  13.705146   0.5287748  9.937509   3.2302492
 24.98613    2.070452 ]
after=[ 5.1136475   7.215804   57.48909    11.897288    1.6101229  23.48655
 10.44224     4.623917    5.126582    0.25483128 26.620676    2.9000204
 24.337893    2.3927011 ]

sig_ip_steady before=[ 4.0251675  13.698301    2.3234925   0.16205592 -3.6689532  13.653539
  4.4224224  12.476608    0.5261933  13.802661    0.30464512  3.9289455
  1.6063828  11.47837   ]
after=[ 3.8182802  13.698237    2.3132625   2.4962096  -2.1470642  13.6172
  2.2569969   1.7112302  -0.05800575 13.799451    0.03092467  4.2421823
  0.57791686  0.7269777 ]

sig_rrp_steady before=[ 4.2938333  13.777091    1.5997326   3.9387393  13.643847    4.2396913
 13.769167    2.6355357  -0.05696887  7.2926583   5.7647595  13.818327
 13.774207   13.669162  ]
after=[ 7.540745  13.835538  -0.989257   0.5991792 13.74567    3.0206323
 13.614157  -4.644125  -0.1128361  6.942086   4.950926  13.807116
 13.561307  13.8294325]

acl_bc_weight before=[6.42825337e-03 3.27286216e-08 3.30292434e-01 3.38287384e-04
 6.80077896e-02 1.64166957e-01 2.01425908e-04 5.25703770e-04
 4.14411485e-01 4.55584785e-04 4.18786925e-07 1.18517413e-07
 7.31946955e-07 2.98347970e-07 4.25887346e-01 1.14729583e-01
 1.52500533e-03 3.22410720e-04 8.95066381e-01 4.29144457e-05
 6.29910326e-04 3.22754058e-04 9.11440793e-03 2.52844734e-06
 5.45227920e-07 5.93128540e-02 1.35362381e-03 3.95505509e-07
 4.62562978e-01 2.11772160e-03 2.99739745e-03 4.03349816e-08
 3.72433871e-01 4.04906506e-03 3.43338167e-03 1.78230450e-01
 7.55567200e-08 1.91007715e-07 4.11805093e-01 7.62554180e-08
 6.51731528e-03 1.27727432e-07 1.01805432e-02 2.51469500e-02
 3.09613000e-07 6.97442260e-07 1.68204587e-02 4.14577387e-02
 4.65058088e-01 1.23331844e-07 2.65651196e-03 2.87253022e-01
 6.26333281e-02 9.58346486e-01 2.15236202e-01 9.34688747e-03
 6.55575693e-02 2.38844246e-01 1.00258775e-02 2.71706998e-01
 3.47117595e-02 2.00987548e-01 2.23520286e-02 1.16242218e+00
 1.50509492e-01 3.02758962e-02 1.38258815e-01 3.10650524e-02
 4.72468324e-03 2.10650519e-01 1.71561958e-03 1.14140916e-03
 1.07804708e-01 8.11784983e-01 1.21897329e-02 1.51870726e-02
 2.32195916e-07 1.10036246e-02 3.68703354e-07 1.76305475e-03
 9.09561606e-07 1.77699365e-02 1.20492987e-02 4.95640968e-04
 1.18993258e-03 9.77036171e-03 4.80047688e-02 6.05818592e-02
 6.72093360e-03 3.17290783e-01 6.04915385e-07 1.59033505e-07
 2.96120852e-01 3.04437071e-01 9.13448725e-03 8.44343193e-03
 2.79675261e-03 3.47533074e-07 1.90633861e-03 1.91429541e-01
 6.43698797e-02 2.13644415e-01 3.86364874e-03 4.91145462e-01
 9.27609354e-02 5.90967434e-03 4.85092372e-04 3.01206797e-01
 2.33334422e-01 1.78702533e-01 2.17032209e-02 2.33409002e-01
 8.23452100e-02 9.91091847e-01 1.65421125e-06 6.84868172e-02
 2.18859706e-02 6.71974431e-06 4.18256549e-03 1.39065608e-01
 2.14114129e-06 1.65678794e-04 3.68137512e-06 5.61409354e-01
 4.21892673e-06 1.92082804e-02 1.27463192e-01 1.38615678e-06
 3.03921178e-02 2.33363211e-01 1.17846980e-06 7.75677934e-02
 2.47924119e-01 3.57073784e-01 8.18877538e-07 2.15170381e-04
 2.09899135e-02 5.49627885e-07 1.22813645e-07 1.94681540e-01]
after=[1.59454264e-03 2.58055746e-08 3.78018409e-01 9.52757982e-05
 7.36702010e-02 2.19703630e-01 3.00258707e-05 3.80627215e-02
 7.23053038e-01 5.39356079e-05 3.92347204e-07 1.22697045e-07
 6.07143988e-07 2.82317757e-07 4.26561862e-01 1.99657962e-01
 6.17858721e-04 6.99784141e-05 1.01560891e+00 2.92430263e-06
 8.06090247e-04 2.45512347e-04 1.18288547e-02 3.92534548e-06
 7.07105812e-07 1.13046996e-01 2.32890528e-03 5.30122804e-07
 3.48125905e-01 5.28418086e-03 2.21774541e-03 2.19107665e-08
 4.14384723e-01 5.42024570e-03 9.66470572e-04 1.91786349e-01
 5.30930038e-08 1.90942330e-07 5.45020700e-01 4.42728698e-08
 6.24341704e-03 9.74055681e-08 1.22203687e-02 3.74637619e-02
 2.89866477e-07 1.70422427e-05 4.96636070e-02 2.35469207e-01
 5.76785266e-01 5.87789089e-08 2.55481456e-03 3.27846080e-01
 1.08374469e-01 8.19587886e-01 2.27630496e-01 6.35036966e-03
 2.04795048e-01 2.77616531e-01 1.08027346e-02 2.88572490e-01
 3.23736295e-02 1.29851758e-01 7.01991171e-02 1.20401466e+00
 1.07548423e-01 3.04522179e-02 6.25301078e-02 1.87164042e-02
 4.43749828e-03 2.09142119e-01 1.71876058e-03 4.79782786e-04
 8.89731646e-02 6.23358846e-01 7.54564852e-02 6.88278675e-03
 1.88021659e-07 1.37173712e-01 4.60652018e-07 2.64047936e-04
 9.38552319e-07 6.94442615e-02 1.23061463e-02 9.08507500e-04
 5.73120196e-04 5.30557847e-03 5.69212660e-02 3.33849639e-01
 3.35624884e-03 3.10110360e-01 5.58973738e-07 9.80018982e-08
 3.78838956e-01 5.51928282e-01 5.44063468e-03 4.00787499e-03
 4.96261753e-04 1.70954380e-07 3.70296533e-03 3.47248524e-01
 7.10497871e-02 2.12201893e-01 2.28537666e-03 5.50364554e-01
 7.31519014e-02 1.51772993e-02 3.79922939e-03 4.29966211e-01
 1.96170092e-01 2.03551307e-01 2.35246383e-02 2.64414191e-01
 4.87906672e-02 1.49814224e+00 1.02199238e-06 7.87736848e-02
 1.02415934e-01 1.63527086e-01 4.29466087e-03 3.91834617e-01
 2.15984505e-06 7.28353989e-05 2.21234786e-05 5.87164521e-01
 4.72121246e-06 3.66053395e-02 1.28633350e-01 7.01134923e-05
 3.74115184e-02 4.01008189e-01 8.96017980e-07 3.10694594e-02
 2.27246657e-01 4.00939643e-01 9.48952106e-07 8.16844185e-05
 1.05372081e-02 2.58189289e-07 1.04105425e-07 4.24028128e-01]

acg_bc_weight before=[3.61262124e-07 5.95686458e-07 2.33766693e-03 1.06850732e-03
 3.69611143e-06 3.93072270e-07 8.98443773e-07 4.71063703e-03
 2.11586244e-03 6.29255623e-02 1.07938729e-01 3.76505032e-03
 1.45184754e-06 5.72822330e-07 5.76255145e-03 5.63063547e-02
 5.28932363e-02 2.86940605e-07 1.22216269e-02 1.48963742e-03
 6.21612882e-04 3.89929652e-01 1.22428127e-01 5.85569395e-03
 8.29546154e-02 1.91689003e-02 6.82847900e-03 3.96185783e-07
 3.33213904e-07 3.15174507e-03 5.86247444e-02 1.83772668e-02
 4.14983390e-07 3.28768305e-02 2.46480584e-01 3.54405842e-04
 1.92716986e-01 3.53214375e-07 2.98016006e-03 3.58148191e-06
 9.10179438e-07 5.61486542e-01 6.79972231e-07 3.76351736e-03
 1.59584701e-07 2.07559879e-07 4.90937948e-01 1.85740603e-07
 7.08686654e-03 6.89359531e-02 1.27158017e-07 7.48436889e-07
 3.45003582e-03 3.49146454e-03 1.31730914e-07 4.43780702e-03
 1.20215081e-01 8.40625546e-07 1.29179990e+00 6.69105361e-07
 9.93807816e-07 1.01508526e-02 9.04238220e-07 2.60970779e-07
 5.00600379e-07 2.80253801e-07 8.33090041e-07 3.11240655e-07
 1.81175750e-02 4.98210965e-03 5.88358603e-02 2.58160617e-06
 7.11157802e-04 9.17571411e-03 3.08311377e-02 2.63395049e-02
 1.57209724e-01 2.63463636e-03 1.08369607e-02 2.95202017e-06
 6.55903796e-06 7.51109794e-02 1.32387215e-02 1.09309386e-02
 2.32587121e-02 2.29991414e-03 8.68537091e-03 7.83712137e-03
 2.69203521e-02 1.01132747e-02 1.27904620e-02 2.79837679e-02
 7.71956332e-03 9.83923394e-03 1.88579727e-02 6.72122155e-07
 6.60868125e-07 3.20164952e-03 7.87800644e-03 9.34353977e-07
 3.35025266e-02 2.38753796e-01 5.26624262e-07 8.16547413e-07
 8.58578365e-03 1.42061701e-02 3.55008950e-07 1.92230549e-02
 5.36306296e-03 5.83120435e-02 8.84724784e-07 4.36226429e-07
 4.94863559e-03 2.20955908e-02 1.50231626e-02 8.40921327e-02
 2.49780621e-02 4.45259782e-03 7.45749474e-03 3.13416845e-03
 7.22220079e-07 1.70594886e-01 4.26525017e-03 1.24095213e-02
 2.08713715e-07 4.65607116e-07 3.23725701e-03 1.13780074e-01
 2.12035366e-06 5.26134148e-02 1.38747941e-06 1.14676859e-02
 2.53099774e-04 2.17357301e-03 2.19399761e-02 4.86430414e-02
 4.86160852e-02 7.40367407e-03 1.23016741e-06 2.35922277e-01
 3.86091927e-03 5.04228410e-07 1.61672861e-03 1.25815114e-02
 7.78975220e-07 3.88215594e-02 7.30840815e-03 5.27462165e-04
 6.73472183e-03 2.45476067e-02 1.14155933e-02 8.84246504e-07
 9.06196237e-03 3.22157256e-02 1.07060596e-02 3.03657544e-07
 8.67534138e-04 1.94405823e-03 1.01655707e-01 3.57972510e-07
 4.98903263e-03 1.29986927e-02 2.59776320e-03 3.53769306e-03
 1.73091667e-03 2.34180270e-03 7.96977524e-03 9.28841811e-03
 2.29036668e-03 2.20653345e-03 1.38394177e-01 5.93195530e-03
 9.34700854e-03 3.79241840e-03 1.56017265e-03 7.43556544e-02
 5.78726770e-07 1.37711652e-06 2.89986953e-02 4.27573104e-06
 1.25882843e-06 1.52234825e-05 9.47963429e-07 3.57183963e-02
 1.83267584e-05 5.18296612e-03 1.98087352e-03 4.76861093e-03
 9.03476234e-07 4.70021274e-04 4.11759615e-01 2.93681501e-06
 4.25779074e-03 1.30501326e-06 4.16140594e-02 1.60393438e-06
 1.73179410e-06 4.63561993e-03 1.07694324e-02 1.53681301e-02
 1.12553698e-06 8.86548776e-04 1.54691099e-06 1.43939024e-02
 1.52501252e-06 5.37117086e-02 1.43312669e+00 2.01776402e-06
 5.24552213e-03 3.90065834e-04 6.51485379e-07 5.52242668e-03
 1.40711316e-03 1.27825299e-02 1.60007700e-01 4.82988777e-04
 3.57551011e-03 1.95009355e-02 1.16800619e-02 1.33308197e-06
 3.63877341e-02 6.61949022e-03 1.02491813e-05 9.64722631e-07
 7.05592781e-02 1.88152224e-01 7.42437318e-03 1.16548985e-02
 6.98075863e-03 4.43855003e-02 1.86486170e-06 1.34204384e-02
 3.25977453e-07 2.15096641e-02 2.42339144e-03 5.26111061e-03
 1.62254106e-02 4.70040478e-02 1.38815567e-01 2.11527452e-01
 6.03935821e-03 6.57114208e-01 1.12166435e-06 3.36393621e-03
 2.08478002e-03 5.87603413e-02 1.08274212e-02 7.61593810e-07
 8.37782049e-04 1.88419467e-03 1.33611704e-03 1.36397441e-03
 7.26512168e-04 5.33340918e-03 1.49893453e-02 6.23629689e-02
 7.07279128e-07 4.82967407e-01 3.98265513e-07 2.23761331e-03
 1.75818969e-02 1.38110829e-06 2.70531699e-03 3.37590440e-03
 2.13669017e-02 7.47816265e-03 3.12466756e-03 7.85862312e-07
 1.42514519e-03 1.39751626e-06 5.33485878e-03 1.84244141e-02
 9.89466254e-03 1.52890369e-01 1.03988230e-01 6.76488526e-07
 2.77487576e-01 1.36404401e-02 3.49003961e-03 7.30027125e-07
 4.11501765e-04 1.05962135e-06 1.86806230e-03 3.66881080e-02
 5.76459804e-08 2.33244672e-02 6.22196831e-02 1.95696168e-02
 7.97828077e-04 2.99065277e-07 7.19011819e-04 3.07304412e-03
 5.68424305e-03 1.08160274e-02 3.10083926e-02 4.73122345e-03
 3.82585870e-03 9.34288651e-03 1.57208069e-06 2.75813676e-02
 3.96451168e-02 8.89035501e-03 1.79271726e-03 5.33754053e-03
 9.23966698e-04 2.89913244e-03 7.04071681e-07 7.99752772e-03
 3.09360097e-03 9.03900670e-08 5.35876071e-03 1.31577999e-05
 1.25864856e-02 1.26208980e-02 1.53989518e-07 5.70282600e-06
 7.46238977e-03 7.71469047e-07 1.94074623e-02 2.71993429e-07
 5.16783814e-07 3.29988296e-07 8.41793621e-07 6.37218216e-03
 2.78075039e-01 1.24025732e-01 6.17699651e-03 1.59218051e-02
 2.83510350e-02 8.24033574e-04 4.79090074e-03 1.67521807e-06
 8.54534733e-07 7.10204813e-06 2.89995107e-03 5.34937783e-07
 6.37222175e-03 3.50184496e-06 3.51035624e-07 4.65314649e-03
 3.39213423e-02 1.98913291e-02 2.31570564e-03 1.18252337e-02
 1.24662407e-01 2.11350175e-06 5.34684830e-07 1.05677248e-06
 9.00518842e-07 3.10181752e-02 4.41606669e-03 1.18642789e-03
